file_name|id|source_org|source_file|original_id|type|name|address|city|state|zip_code|county|location_description|phone|url|latitude|longitude|latlng_source|date_from|date_to|open_to_spec_group|data_issues|food_bucks|snap|wic|fmnp|fresh_produce|free_distribution|food_rx|group_id|merged_record|timestamp|in_error|active_record
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|177429|summer meal site|Mt. Lebanon SHS|155 Cochran Rd|Pittbusrgh|PA|15228|Allegheny|Site Location Info: C20 Entrance<br/>Service Type: Grab and Go<br/>Site Hours: Monday through Friday this site provides breakfast and lunch for every child from 10:45 AM to 1:15 PM.<br/>Comments: Please contact the site to confirm the information.<br/>Site Instructions: The weekly menu can be found here: https://www.mtlsd.org/district/food-service|||40.37571211|-80.05151279|Arc_Gis|June 07, 2021|August 30, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|1|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|177456|summer meal site|Plum Senior High|900 Elicker Road|Plum|PA|15239|Allegheny|Site Location Info: Gold Door 46<br/>Service Type: Grab and Go<br/>Site Hours: Monday through Thursday this site provides breakfast and lunch for every child from 10:30 AM to 12:30 PM.<br/>Comments: Please contact the site to confirm the information<br/>Site Instructions: Gold Door 46|||40.50821549|-79.77399822|Arc_Gis|June 07, 2021|August 31, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|2|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|148573|summer meal site|HOLIDAY PARK EL SCH|313 Holiday Park Drive|Plum|PA|15239|Allegheny|Site Location Info: Gold Door 4<br/>Service Type: Grab and Go<br/>Site Hours: Monday through Thursday this site provides breakfast and lunch for every child from 10:30 AM to 12:30 PM.<br/>Comments: Please contact the site to confirm the information<br/>Site Instructions: Gold Door 4|||40.472811|-79.715097|Arc_Gis|June 07, 2021|August 31, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|3|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|43679|summer meal site|Green Tree Wilson Park|10 WEST MANILLA DR|PGH|PA|15220|Allegheny|Service Type: Grab and Go<br/>Site Hours: Contact site for details<br/>Comments: Please contact the site to confirm the information<br/>|||40.418784|-80.0470395|Arc_Gis|June 14, 2021|August 31, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|4|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|44510|summer meal site|Keystone Oaks High School Entrance C31|1000 KELTON AVE|Pittsburgh|PA|15216|Allegheny|Service Type: Grab and Go<br/>Site Hours: Contact site for details<br/>Comments: Please contact the site to confirm the information<br/>|||40.38677814|-80.03028645|Arc_Gis|June 14, 2021|August 31, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|5|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|180297|summer meal site|Myrtle Ave Elementary School|3724 Myrtle Avenue|Pittsburgh|PA|15234|Allegheny|Service Type: Grab and Go<br/>Site Hours: Contact site for details<br/>Comments: Please contact the site to confirm the information<br/>|||40.3672706|-80.02409795|Arc_Gis|June 14, 2021|August 31, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_GPCFB_QUERY|16|Greater Pittsburgh Community Food Bank|https://services5.arcgis.com/n3KaqXoFYDuIhfyz/ArcGIS/rest/services/FMNPMarkets/FeatureServer|760a8bf6-ad08-4179-8725-d998792cc986|food bank site|Saint John Lutheran Church - Across from Carnegie Boys & Girls Club|601 Washington Avenue|Carnegie|PA|15106||Population Served: Children 18 and under.<br/>Site Info: (none)<br/>Time: 12 noon - 1 PM<br/>Additional Info: Families can stop in for free groceries.  Please call 412-279-2952 Ext: 7 to arrange a time.|||40.405369168128466|-80.08327797683697|Arc_GIS|||everyone||False|False|False|False|True|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|6|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|135392|summer meal site|Saint John's Evangelical Lutheran Church|601 Washington Avenue|Carnegie|PA|15106|Allegheny|Service Type: Grab and Go<br/>Site Hours: Contact site for details<br/>Comments: Please contact the site to confirm the information<br/>|||40.405311|-80.0832195|Arc_Gis|June 14, 2021|August 31, 2021|children and teens 18 and younger||False|False|False|False|False|True|False||False||False|True
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|9c8247d3-641b-44cc-ab31-303f0c5cb64a|summer meal site|Brashear High School|590 Crane Avenue|Pittsburgh|PA|15216|Allegheny|Service Type: Grab and Go<br/>Site Hours: Call the school at (412) 529-4160 for updated meal service times.<br/>|||40.4169833196409|-80.0183737650599|Arc_Gis|||children and teens 18 and younger||False|False|False|False|False|True|False|30;7|True||False|True
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|a44fe7b2-43da-4e5c-a31e-05932fa153bf|summer meal site|South Hills Middle School|595 Crane Avenue|Pittsburgh|PA|15216|Allegheny|Service Type: Grab and Go<br/>Site Hours: Call the school at (412) 529-8130 for updated meal service times.<br/>|||40.4194589985625|-80.0181880220856|Arc_Gis|||children and teens 18 and younger||False|False|False|False|False|True|False|31;8|True||False|True
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|d0c8cfe9-a39e-4212-aa26-ca0ae787be6c|summer meal site|Spring Garden Early Childhood Center|1501 Spring Garden Avenue|Pittsburgh|PA|15212|Allegheny|Service Type: Grab and Go<br/>Site Hours: Call the school at (412) 529-4591 for updated meal service times.<br/>|||40.4644558208363|-79.9858055449955|Arc_Gis|||children and teens 18 and younger||False|False|False|False|False|True|False|32;9|True||False|True
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|bbd3e53e-796f-4c9c-8d3f-d93d6aacba57|summer meal site|Oliver High School|2323 Brighton Road|Pittsburgh|PA|15212|Allegheny|Service Type: Grab and Go<br/>Site Hours: Call the school at (412) 529-3125 for updated meal service times.<br/>|||40.4648653606254|-80.0241136085355|Arc_Gis|||children and teens 18 and younger||False|False|False|False|False|True|False|23;10|True||False|True
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|8c053932-b7fb-45d9-a10a-10c01fd0e961|summer meal site|Conroy Education Center|1398 Page Street|Pittsburgh|PA|15233|Allegheny|Service Type: Grab and Go<br/>Site Hours: Call the school at (412) 529-3105 for updated meal service times.<br/>|||40.4514753122123|-80.0246920436736|Arc_Gis|||children and teens 18 and younger||False|False|False|False|False|True|False|24;11|True||False|True
ARC_GIS_SUMMER_MEAL_QUERY|0|Allegheny County|https://services1.arcgis.com/vdNDkVykv9vEWFX4/arcgis/rest/services/Child_Nutrition/FeatureServer|4db5bcf4-a0bf-4a19-95e7-7cc0f37e233c|summer meal site|Langley K-8|2940 Sheraden Blvd|Pittsburgh|PA|15204|Allegheny|Service Type: Grab and Go<br/>Site Hours: Call the school at (412) 529-2100 for updated meal service times.<br/>|||40.4546162208796|-80.0540851988151|Arc_Gis|||children and teens 18 and younger||False|False|False|False|False|True|False|35;12|True||False|True
